score,full,x,mean,low,high
p,0,0.7800256072080622,0.04600752961519495,0.020685946963219442,0.09918584888046218
p,0,0.7866910512629096,0.04624304562187892,0.020848080069430144,0.09943030377112601
p,0,0.7933564953177571,0.04647970824546103,0.021004948781527935,0.09970369316677159
p,0,0.8000219393726046,0.046717522463253,0.0211563632317828,0.10000646631490201
p,0,0.8066873834274519,0.04695649326795795,0.021302143312028298,0.10033906647143732
p,0,0.8133528274822994,0.04719662566765098,0.021442119513581055,0.10070193003457753
p,0,0.8200182715371468,0.04743792468575906,0.021576133709823305,0.10109548573212754
p,0,0.8266837155919943,0.04768039536104001,0.021704039872442134,0.10152015387113965
p,0,0.8333491596468416,0.047924042747560326,0.021825704713094946,0.10197634565795254
p,0,0.8400146037016891,0.048168871914672444,0.021941008243227065,0.10246446259574746
p,0,0.8466800477565365,0.048414887946990594,0.02204984424588065,0.10298489596562271
p,0,0.853345491811384,0.048662095944366164,0.022152120654580644,0.10353802639594385
p,0,0.8600109358662315,0.048910501021861695,0.022247759835730078,0.10412422352337188
p,0,0.8666763799210788,0.04916010830972409,0.022336698772362235,0.10474384574756071
p,0,0.8733418239759263,0.04941092295335688,0.02241888914854151,0.10539724008006314
p,0,0.8800072680307737,0.04966295011329134,0.022494297335144058,0.10608474208654786
p,0,0.8866727120856212,0.04991619496515668,0.02256290427914536,0.10680667592002847
p,0,0.8933381561404685,0.050170662699649225,0.022624705299860895,0.10756335444148925
p,0,0.900003600195316,0.050426358522500485,0.022679709796799705,0.10835507942307362
p,0,0.9066690442501634,0.050683287654444326,0.022727940874868804,0.10918214182792421
p,0,0.9133344883050108,0.05094145533118291,0.02276943489359179,0.11004482215983824
p,0,0.9199999323598583,0.0512008668033517,0.02280424094776284,0.11094339087514102
p,0,0.9266653764147057,0.0514615273364834,0.022832420287534447,0.11187810884860598
p,0,0.9333308204695532,0.05172344221097062,0.022854045686336835,0.11284922788484901
p,0,0.9399962645244005,0.05198661672202779,0.02286920076524742,0.11385699126640493
p,0,0.946661708579248,0.05225105617965165,0.02287797928247836,0.1149016343296466
p,0,0.9533271526340954,0.05251676590858071,0.02288048439654384,0.11598338505981323
p,0,0.9599925966889429,0.05278375124825375,0.022876827911418256,0.11710246469666956
p,0,0.9666580407437902,0.05305201755276693,0.022867129511622696,0.11825908834269076
p,0,0.9733234847986377,0.05332157019082997,0.022851515994698927,0.11945346556615165
p,0,0.9799889288534852,0.05359241454572098,0.02283012050796865,0.12068580099206146
p,0,0.9866543729083326,0.05386455601524032,0.022803081795850617,0.12195629487451715
p,0,0.9933198169631801,0.054138000011663155,0.022770543463341394,0.1232651436447164
p,0,0.9999852610180274,0.05441275196169071,0.02273265326057288,0.12461254042957286
p,1,0.02595735684458942,0.26066122195219604,0.08476887918452797,0.5730188584319874
p,1,0.032450738757287385,0.26352148295307215,0.08662572389432437,0.574456836684347
p,1,0.03894412066998535,0.26640179921871,0.08851853512530754,0.5758958437354491
p,1,0.04543750258268332,0.2693020642180832,0.0904478052349777,0.5773358970551252
p,1,0.05193088449538129,0.2722221655585803,0.0924140242820067,0.5787770150018662
p,1,0.05842426640807925,0.2751619849494548,0.09441767953656788,0.5802192168484823
p,1,0.06491764832077722,0.27812139816824716,0.09645925497183522,0.5816625228085901
p,1,0.07141103023347518,0.2811002750302616,0.09853923073651373,0.5831069540639523
p,1,0.07790441214617315,0.2840984793611823,0.10065808260829631,0.5845525327927001
